#-- g5v
#\*l[Angstrom]	F(\*l)/F(555.6Angstrom]
1150.0	0.003386
1155.0	0.002432
1160.0	0.001234
1165.0	0.000788
1170.0	0.000876
1175.0	0.000854
1180.0	0.000425
1185.0	0.000363
1190.0	0.000084
1195.0	0.001137
1200.0	0.004133
1205.0	0.028503
1210.0	0.078916
1215.0	0.091386
1220.0	0.041003
1225.0	0.005986
1230.0	0.000716
1235.0	0.000489
1240.0	0.000501
1245.0	0.000393
1250.0	0.000239
1255.0	0.000134
1260.0	0.000150
1265.0	0.000146
1270.0	0.000153
1275.0	0.000239
1280.0	0.000307
1285.0	0.000254
1290.0	0.000172
1295.0	0.000196
1300.0	0.000443
1305.0	0.000597
1310.0	0.000253
1315.0	0.000122
1320.0	0.000101
1325.0	0.000150
1330.0	0.000373
1335.0	0.000748
1340.0	0.000264
1345.0	0.000058
1350.0	0.000012
1355.0	0.000129
1360.0	0.000183
1365.0	0.000164
1370.0	0.000119
1375.0	0.000146
1380.0	0.000120
1385.0	0.000108
1390.0	0.000246
1395.0	0.000419
1400.0	0.000359
1405.0	0.000395
1410.0	0.000236
1415.0	0.000127
1420.0	0.000131
1425.0	0.000217
1430.0	0.000283
1435.0	0.000181
1440.0	0.000215
1445.0	0.000314
1450.0	0.000347
1455.0	0.000303
1460.0	0.000162
1465.0	0.000277
1470.0	0.000431
1475.0	0.000299
1480.0	0.000225
1485.0	0.000465
1490.0	0.000517
1495.0	0.000489
1500.0	0.000363
1505.0	0.000296
1510.0	0.000391
1515.0	0.000333
1520.0	0.000339
1525.0	0.000348
1530.0	0.000600
1535.0	0.000558
1540.0	0.000435
1545.0	0.001056
1550.0	0.001258
1555.0	0.000509
1560.0	0.000327
1565.0	0.000350
1570.0	0.000270
1575.0	0.000374
1580.0	0.000420
1585.0	0.000343
1590.0	0.000230
1595.0	0.000259
1600.0	0.000348
1605.0	0.000345
1610.0	0.000275
1615.0	0.000287
1620.0	0.000277
1625.0	0.000394
1630.0	0.000517
1635.0	0.000660
1640.0	0.000762
1645.0	0.000427
1650.0	0.000485
1655.0	0.000945
1660.0	0.000961
1665.0	0.000576
1670.0	0.000500
1675.0	0.000432
1680.0	0.000463
1685.0	0.000480
1690.0	0.000540
1695.0	0.000595
1700.0	0.000674
1705.0	0.000734
1710.0	0.000682
1715.0	0.000723
1720.0	0.000671
1725.0	0.000670
1730.0	0.000736
1735.0	0.000797
1740.0	0.000838
1745.0	0.000910
1750.0	0.001019
1755.0	0.001114
1760.0	0.001126
1765.0	0.001075
1770.0	0.001178
1775.0	0.001218
1780.0	0.001202
1785.0	0.001131
1790.0	0.000837
1795.0	0.001170
1800.0	0.001414
1805.0	0.001839
1810.0	0.002190
1815.0	0.002583
1820.0	0.002529
1825.0	0.001884
1830.0	0.001742
1835.0	0.001819
1840.0	0.001781
1845.0	0.001607
1850.0	0.001666
1855.0	0.001801
1860.0	0.001895
1865.0	0.002163
1870.0	0.002445
1875.0	0.002317
1880.0	0.002398
1885.0	0.002460
1890.0	0.002629
1895.0	0.002650
1900.0	0.002619
1905.0	0.002650
1910.0	0.002730
1915.0	0.002821
1920.0	0.002909
1925.0	0.002862
1930.0	0.002571
1935.0	0.002692
1940.0	0.003305
1945.0	0.003664
1950.0	0.004489
1955.0	0.008526
1960.0	0.006307
1965.0	0.005917
1970.0	0.008694
1975.0	0.006101
1980.0	0.007434
1985.0	0.007610
1990.0	0.005268
1995.0	0.009817
2000.0	0.008977
2005.0	0.007119
2010.0	0.005476
2015.0	0.006159
2020.0	0.008399
